date,open,high,low,close,volume,change_percent,avg_vol_20d,daily_middle,dayNumber,year,is_quarter_end,Moving5DayClose,Moving10DayClose,Moving20DayClose,all_time_high,yearly_max_to_date,yearly_min_to_date,yearly_avg_to_date,monthly_max_to_date,monthly_min_to_date,monthly_avg_to_date,cumulativechange,run,DecreasingMA5-10,DecreasingMA5-20,DecreasingMA10-20,day_Tuesday,day_Wednesday,day_Thursday,day_Friday,month_February,month_March,month_April,month_May,month_June,month_July,month_August,month_September,month_October,month_November,month_December,target
1985-12-20,131.925,132.58,131.695,132.26,231600000,0.25,217895000.0,132.1375,20,1985,1,131.894,130.6,128.13275,133.185,133.185,106.75,119.19737903225807,133.185,124.72,129.19216666666665,1.1200000000000045,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.0
1985-12-23,132.26,132.26,130.365,130.725,198820000,-1.16,217416000.0,131.3125,23,1985,1,131.517,130.924,128.4705,133.185,133.185,106.75,119.38968253968254,133.185,124.72,129.32468749999998,-1.5349999999999966,1.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
1985-12-24,130.725,130.725,129.305,130.03,128560000,-0.53,215501000.0,130.015,24,1985,1,131.21599999999998,131.12949999999998,128.81525,133.185,133.185,106.75,119.55570312500001,133.185,124.72,129.36529411764704,-2.2299999999999898,2.0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-26,130.03,130.635,129.89,130.345,107800000,0.24,211528000.0,130.2625,26,1985,1,131.057,131.24599999999998,129.135,133.185,133.185,106.75,119.72042307692308,133.185,124.72,129.41513888888886,0.3149999999999977,1.0,1,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-27,130.345,131.59,130.25,131.485,149820000,0.87,208689000.0,130.92000000000002,27,1985,1,130.969,131.418,129.42075,133.185,133.185,106.75,119.89011363636364,133.185,124.72,129.49434210526314,1.4550000000000125,2.0,1,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-30,131.485,132.13,131.245,131.945,185640000,0.35,212212000.0,131.6875,30,1985,1,130.906,131.4,129.715,133.185,133.185,106.75,120.06619402985075,133.185,124.72,129.60399999999998,1.914999999999992,3.0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0
1985-12-31,131.945,132.66,131.905,132.295,225400000,0.27,214906000.0,132.2825,31,1985,1,131.22,131.36849999999998,130.0705,133.185,133.185,106.75,120.2458455882353,133.185,124.72,129.73154761904757,2.2649999999999864,4.0,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.0
1986-01-02,132.295,132.445,131.065,131.255,151620000,-0.79,214033000.0,131.755,2,1986,0,131.465,131.3405,130.37175,133.185,132.445,131.065,131.755,132.445,131.065,131.755,-1.039999999999992,1.0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-03,131.255,131.255,130.0,130.55,178360000,-0.54,211231000.0,130.6275,3,1986,0,131.506,131.2815,130.50225,133.185,132.445,130.0,131.19125,132.445,130.0,131.19125,-1.7449999999999761,2.0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0
1986-01-06,130.55,130.7,129.845,130.355,198480000,-0.15,207005000.0,130.27249999999998,6,1986,0,131.28,131.12449999999998,130.597,133.185,132.445,129.845,130.885,132.445,129.845,130.885,-1.9399999999999977,3.0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
